1     0.950488     0.00694444      -0.29     1.26597
1     -nan     -nan      -1     0
1     -nan     -nan      -1     0
1     -nan     -nan      -1     0
1     -nan     -nan      -1     0
1     0.614293     3.97272e-05      -0.03     23.3158
1     0.921827     0.00581162      -0.17     24.0796
1     0.921827     0.00581162      -0.17     24.0796
1     0.921827     0.00581162      -0.17     24.0796
1     0.921827     0.00581162      -0.17     24.0796
1     0.921827     0.00581162      -0.17     24.0796
1     0.921827     0.00581162      -0.17     24.0796
1     0.921827     0.00581162      -0.17     24.0796
1     0.921827     0.00581162      -0.17     24.0796
1     0.614293     3.18214e-05      -0.03     23.2087
1     0.614293     4.2497e-05      -0.03     40.5639
1     0.366385     4.53526e-05      -0.03     15.4105
1     0.366385     4.53526e-05      -0.03     31.3139
1     0.471682     3.60664e-05      -0.02     27.9581
1     0.618804     0.00158651      0.0799999     33.6749
1     0.618804     0.00158651      0.0799999     33.6749
1     0.618804     0.00158651      0.0799999     33.6749
1     0.471682     3.60664e-05      -0.02     27.9581
